letter,landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z
o,0.0,1.0,4.382717161661993e-06,0.33486485773617,0.9973053747741145,0.37555575335688074,0.6158519898372724,0.8894876610542686,0.41951711844016426,0.8624490464123789,0.8192947806634255,0.2171883841110102,0.9710861518089992,0.6419965668107044,0.0056679496174734155,0.49839255599900417,0.3247773799153711,1.0,0.7631606799621118,0.08475519289694383,0.7495719256507998,0.9368184973306091,0.24113003312302347,0.3638908005914054,1.0,0.4213276276031951,0.13553943598124127,0.4467604775444742,0.270557527590063,0.5083605191927016,0.7756140166757499,0.007958775243677487,0.17812992684908102,0.9577836581924221,0.228079559863166,-0.30145819465908047,0.9866053567221341,0.46384662666729937,-0.5559611716409896,0.3914547660350149,0.2486405736120749,-0.029742591209491156,0.7052103399487812,0.0,-0.26983713404878606,0.8988563982191967,0.2246893080059964,-0.5083916698171976,0.9334828576589334,0.44667476124326355,-0.6051951346055495,0.3462213018632595,0.28093354016872607,-0.5655844939716757,0.6378898929516972,0.07844900742787589,-0.713833400168386,0.8140399802657271,0.2178439968495156,-0.7354843795656097,0.8733365066352764,0.3996628809155225,-0.7102898161576501
o,0.0,0.9973573840394273,4.035721663855369e-06,0.3398630868711124,1.0,0.41000223221750615,0.6105012293314045,0.8983096954408941,0.46856420969606316,0.8520749922227088,0.8245537910392051,0.27956516541842624,0.9579202894628502,0.6512573573637538,0.0748216468048682,0.5027674035000818,0.31890625681472173,1.0,0.7572732844443788,0.07857172561179085,0.8049991951750775,0.9287445948509685,0.22940277934146586,0.46281196801853725,1.0,0.39962075915112527,0.24584751420189083,0.4500033077407147,0.26804345599071727,0.5015381355672326,0.7687785360978392,0.0,0.2160552504498283,0.9539131666122667,0.21711259669931648,-0.23337291594607545,0.9957457533803197,0.44777805839639645,-0.4851983959972371,0.39511230736510844,0.24725367348367053,-0.03447841978557057,0.7028516005364555,0.00310310097097423,-0.2395075362509693,0.8974438545184559,0.23082866001904825,-0.4639609698678409,0.9373123540561922,0.4521042846405935,-0.5682149584956822,0.349612884989582,0.28446431089026764,-0.5656126719597261,0.638582034430027,0.08282654625085073,-0.6836068330156657,0.8086017660601746,0.22862309910469136,-0.6958136143512723,0.8641368190906392,0.41512946830209846,-0.6780371089670457
o,0.0,0.9968866681839611,4.029990289180343e-06,0.3324507812104605,1.0,0.36131407187351117,0.6098930893198884,0.908235557279816,0.3830164100952038,0.8559622878874421,0.840961643908279,0.160807983845385,0.9632689540795186,0.6503629479179452,-0.0680223486805477,0.5102037048057249,0.3176532883654977,1.0,0.7674057850674316,0.08069580077472475,0.7749355629254985,0.9367783751556553,0.22930347758526506,0.4036610027577069,1.0,0.39735822189546255,0.1777048761507843,0.45736114208614587,0.2641640355589657,0.5130732325876844,0.7829306640608706,0.0,0.21002229812248635,0.9617406257803623,0.21391630332811737,-0.2555082916137626,0.993687581442713,0.4431672512773131,-0.5134392436073856,0.4004432596995734,0.23813729704902692,-0.021003328701187856,0.7177635907483859,0.002110848428664857,-0.2498970956991963,0.9062029106089231,0.2306410815471715,-0.4825112207412032,0.9372686860102901,0.45434794274002394,-0.582976996815698,0.35290991372286423,0.26997200406832267,-0.554633609642003,0.6505086919500813,0.08041989168820793,-0.6938858553033175,0.8226863317506867,0.2269474565890359,-0.712530225559258,0.8776367417241968,0.4108156773105484,-0.6914909804601957
o,0.0,0.9951906678667569,2.961812345398969e-06,0.3457906351513705,1.0,0.5109775448924564,0.6106542140638616,0.9042321812225911,0.6117887156431255,0.8537855138829605,0.8333714443057911,0.4565465205818137,0.9424272565479652,0.6707009089182263,0.2841202770550983,0.5040942608878861,0.32698075697811213,1.0,0.767686265047496,0.07961370069619378,0.825030411734934,0.935729523941908,0.23750720079996812,0.5024173691210145,1.0,0.4139808092534614,0.29543619257904336,0.45204220194434225,0.2736876428837981,0.4469913964141284,0.7838779707870016,0.0026089022331925696,0.16723993896934555,0.9565887701459251,0.22682077370622392,-0.27053932856414187,0.9853792944880141,0.4533130925941357,-0.5216590501672769,0.3967944863749388,0.25371877000761356,-0.12574061546396023,0.7120613170917962,0.0,-0.31250675199711125,0.8967611561669955,0.2302808842504724,-0.5082196469673605,0.9274841768935765,0.45140923472511707,-0.6066125544969411,0.35410471892362444,0.2993863081026274,-0.6838913504388859,0.6458262165143421,0.08515519826590762,-0.7790533811041753,0.8113532086280871,0.23098437588149956,-0.7554535788174497,0.858819358796738,0.41714807432623024,-0.7227128673456401
o,0.0,1.0,3.7885763630512213e-06,0.3379764157109497,0.9984148887179642,0.36209113091910816,0.6143249210440878,0.8977822807379017,0.37673139039419995,0.8560584839609869,0.8246301338602262,0.13048161214632628,0.9614354057727532,0.6495348506949945,-0.11850146607443508,0.5153561571436961,0.32131112754686997,1.0,0.779343058910774,0.08261869249251566,0.6964111970598178,0.9417489074868677,0.25045579132022283,0.2720889552378689,1.0,0.4254603677031319,0.019136193879976036,0.4605321685859754,0.2680159676771922,0.4767875899142112,0.7917192870669799,0.002954229603902772,0.09270125888263706,0.9673898638990642,0.2329383005078759,-0.41226264154480063,0.9972802762202589,0.4650785044626916,-0.6851585736903236,0.4009599130984354,0.2432936494580988,-0.1020946873211339,0.7254365946394352,0.0,-0.4095258353779158,0.9103494624563147,0.2362271396334461,-0.6611120074173994,0.9435902558830789,0.46034307685614395,-0.7562595018694123,0.34893777101896717,0.27453782636998025,-0.6828243020247224,0.6476935108893573,0.0772189710977819,-0.883317010145369,0.8232782526269701,0.2253173916505433,-0.9183390514699237,0.8847069310882563,0.40756630009087097,-0.8989620996328119
o,0.0,0.99608890031152,2.9717561149991066e-06,0.34737273017216214,1.0,0.4947128604687539,0.6101014860641453,0.8999090104523984,0.5923593999007088,0.8535953425766941,0.8264468685294306,0.4361931484583805,0.9371696893359288,0.6710321613851967,0.25704726189963434,0.5036921653662765,0.3284398297935843,1.0,0.7669863211351616,0.08200054718087851,0.845699084390663,0.9323760913203916,0.2370782406476632,0.5479988189342299,1.0,0.4072926360646088,0.35291441013585656,0.44952027449488025,0.2756374968132932,0.4697923727180608,0.7805944832841333,0.00306732190195099,0.20835700376535554,0.9551988751401587,0.2299343175680297,-0.19164629743815273,0.9885780802601859,0.4626703463198977,-0.4138395802115944,0.3936581682329492,0.2534103462784446,-0.08507644198836163,0.710728700925629,0.0,-0.26800215697520213,0.8955038630486689,0.23622648313998917,-0.4507569815495311,0.9309835364687353,0.45912040673778637,-0.5353879948404882,0.3481265227951898,0.29068476370698465,-0.6275220061342879,0.639189104427429,0.07382319839659421,-0.7303506699884613,0.8062803935679613,0.22031678456618298,-0.7220121983011695,0.8613575669941228,0.4072919106354138,-0.6979823270849438
o,0.0,0.9957369776831878,2.9721887748358058e-06,0.34912690285237047,1.0,0.5066059533975845,0.6137214274048541,0.8994386133139105,0.6047730267170917,0.8587839866835494,0.8263451646906902,0.44530325118945957,0.9331678190076278,0.6733542415975757,0.26515966207148955,0.5036977231533314,0.3248952359394394,1.0,0.7702994544831342,0.07671571247913907,0.8198324996950104,0.9351701339549812,0.2370069177273236,0.49431182139807245,1.0,0.41479823156094064,0.28417073319507136,0.44990427022290846,0.2714481287388888,0.45247974868854457,0.7867851438236922,0.0038281585414136486,0.15806131816518237,0.9567742339310891,0.2347596169105941,-0.2742461266316945,0.9859755681999478,0.46649826179780723,-0.514220629498597,0.3939046019779225,0.2502804427612774,-0.11699592076369403,0.7109210882231528,0.0,-0.31405203123093817,0.8944930112982372,0.23305325948410227,-0.5100901854336952,0.9299087484708862,0.455564544016358,-0.6021188239599854,0.3497877446095647,0.29113800874363316,-0.6734574234476027,0.6384077137932594,0.07126263558561795,-0.7730466024155179,0.8058968564322394,0.21518573538231262,-0.7570557521044284,0.8616757252610431,0.40153953261488756,-0.7280672807124557
o,0.0,0.9972213118769648,1.9980857845176473e-06,0.3619006078703447,1.0,0.5621096665977523,0.6177726104573209,0.9074318240559767,0.7048503828744932,0.865867649759158,0.8320404553678368,0.5966119229070447,0.9389891439872905,0.6768783120847488,0.46902279529374374,0.501656446411055,0.33607756676537814,1.0,0.7720962245538018,0.0879185875420847,0.871636270316002,0.9325633501251452,0.2464811871052316,0.6034341062819911,1.0,0.419339069634655,0.4238518588451902,0.45136062894520257,0.2795213704956914,0.4504870566308574,0.7910705005551554,0.009059929623742104,0.18655449373086327,0.9555474836278999,0.24172517277320635,-0.2037174335210994,0.9858400027883041,0.47023051349666617,-0.4250104085101943,0.3969649799468151,0.25745667788925286,-0.10809272798176275,0.7167802347542734,0.0,-0.2845403571075084,0.8930761085652493,0.24143894192353887,-0.44116606023134003,0.925737795406848,0.4654039708697026,-0.5138200585205429,0.3561462786217359,0.30096355587614726,-0.6457001922106785,0.6450038968331925,0.06414379494595084,-0.7219235931444363,0.8081802651984568,0.21926360013581975,-0.6776549749253938,0.8571782518068022,0.41325589861494255,-0.6346255601958934
o,0.0,0.9936476126576063,1.6311679729711055e-06,0.35318875061540966,1.0,0.5339203567214688,0.6111126494007536,0.9098583603227293,0.658147766657771,0.8577949525940404,0.8384259002350852,0.5247945283648556,0.9402214641831018,0.6770518036651768,0.3672301345717446,0.5143852217939774,0.3412403435136326,1.0,0.7887727217573961,0.0880318844820222,0.8358316939600936,0.9449844591474919,0.25438567174168203,0.5432465411770402,1.0,0.4312471413100871,0.3596617636293735,0.46533614367595244,0.286079819667114,0.45629545261975973,0.80282803670194,0.008520262225944125,0.19389488855624296,0.9654830315771844,0.2438473005559311,-0.19574305252546095,0.9856828756621493,0.47536986402725506,-0.4096555961660281,0.4109080418705932,0.2631949559257279,-0.10767377260274447,0.7286999599069193,0.0,-0.2893064543368507,0.9036291554362142,0.24456470560538646,-0.45282844480206763,0.9277212475093778,0.4680643348164889,-0.5222564154587757,0.3624781440933167,0.29892195860617005,-0.6548299595771772,0.6502629462268719,0.0635709577283841,-0.7491336443195069,0.8140793122629674,0.2170689431927867,-0.7200921545831458,0.8615318708476029,0.411057328503829,-0.6798224231675285
o,1.0,1.0,-1.09440982808242e-05,0.6232672625987822,0.8658746548690118,0.25741504377124674,0.32303499274578823,0.6622086761501131,0.24414208173647184,0.08802824814009132,0.5360219626625264,-0.00425157638333194,0.0,0.38869960219296534,-0.20164234378846568,0.648450644037701,0.30684163947561544,1.0,0.4510027266994902,0.07088086519962361,0.564551170590253,0.2137705385062648,0.1330567190581911,0.14717188235772347,0.08532107331635055,0.24559749666520783,-0.07997573507011575,0.7394554828394759,0.2828347236881865,0.5314826068270082,0.4877535520464368,0.0,0.03709343475259323,0.20980383850030915,0.09977381035159391,-0.3684221524025886,0.08483578097744901,0.24717266527412318,-0.5296184979704958,0.812138816694695,0.28543876421704306,-0.04377930029605595,0.5422391599727145,0.007339233739421287,-0.4809768521880599,0.23666118379649156,0.10484483286787248,-0.7132913113835386,0.08525758745116531,0.24651700878559601,-0.7529139154061909,0.836470235014358,0.31639411750480834,-0.6215263552369977,0.5429712735669785,0.1176483251482116,-0.8820780871551819,0.2929994246977207,0.15590961627842143,-0.9633597646167921,0.15406349446095036,0.24655360556891098,-0.9554589255480027
